DA,curr_acc,tot_acc,score,Marginalization Group
30066199,167730,354025,0.625,3
30113709,196430,369605,0.6875,3
13463557,196375,373745,1.0,5
14013219,187715,404495,0.6875,3
13464354,184925,397905,0.5625,2
30024410,137910,318350,0.625,3
13453164,10315,214465,0.1875,1
13452959,10320,227225,0.1875,1
13453471,10190,219090,0.1875,1
14046893,455035,692595,0.4375,1
13464193,479385,691835,0.5,2
14048605,50,400430,0.5,2
13463294,50,432800,0.3125,1
30108292,38170,518130,0.5,2
13463035,39835,516875,0.25,1
13462414,41010,454275,0.3125,1
20052418,65,51050,0.6875,3
14658975,50,62030,0.75,4
20050706,0,69495,0.6875,3
20050850,0,70205,0.625,3
13465539,199650,546195,0.5625,2
14064190,126205,547410,0.375,1
13443707,3860,79635,0.6875,3
13462040,21750,120850,0.625,3
14069700,26090,115840,0.5625,2
30021602,175,44890,0.6875,3
13467250,397580,623495,0.375,1
13467149,407965,633455,0.4375,1
14050638,408265,643255,0.4375,1
14013974,134710,535350,0.3125,1
14063282,120995,397275,0.5,2
14013951,104385,358465,0.375,1
14051334,88780,355615,0.5625,2
13465386,121760,354305,0.25,1
20004100,103070,258035,0.5,2
14673983,103070,245795,0.375,1
14044894,101225,290330,0.5,2
14014805,85765,307325,0.5,2
13464439,72170,243280,0.4375,1
13464255,72070,258400,0.5,2
13463832,27120,190975,0.75,4
13462719,25340,165085,0.5625,2
30042014,31040,401185,0.5625,2
13468215,40645,542770,0.375,1
20091536,18990,168160,0.75,4
13463482,137160,286070,0.75,4
13464736,104215,388615,0.5,2
13466106,206365,570130,0.5,2
13466284,200840,556505,0.6875,3
14042002,360,612400,0.5,2
30088280,125495,606075,0.375,1
13464178,2935,108495,0.3125,1
13466313,52580,165665,0.25,1
30109109,52980,158620,0.25,1
13466479,50810,166200,0.3125,1
14014986,46835,139590,0.125,1
14014962,43055,136810,0.3125,1
13467441,172310,609950,0.4375,1
14041968,134715,626105,0.6875,3
14018669,183055,625740,0.6875,3
14018686,211330,627345,0.5625,2
14018769,342165,629560,0.5,2
14020452,344770,633710,0.75,4
14039040,347835,637975,0.5625,2
13453859,2740,19975,0.5,2
30032676,2965,20310,0.5625,2
13441735,275,49395,0.6875,3
13460839,362245,672940,0.4375,1
13449868,1755,45585,0.75,4
30105068,330,104985,0.6875,3
13464387,462095,683665,0.5625,2
13450951,1885,92090,0.8125,5
30069732,1885,93580,0.5625,2
13457918,625,98635,0.5,2
14610712,6545,108600,0.75,4
13451291,1885,86250,0.875,5
13459901,65370,283765,0.75,4
13452667,110,101620,0.6875,3
13452220,110,117545,0.6875,3
13451568,250,93945,0.75,4
14235151,205,89180,0.6875,3
13461076,100705,301125,0.3125,1
13451901,110,102840,0.75,4
13445235,6295,75935,0.6875,3
13460206,172350,577900,0.5,2
14253136,214970,622420,0.5625,2
20039578,105640,366895,0.75,4
